Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Rhynchospora scirpoides,https://guides.nynhp.org/status/2.143935/,Long-beaked Beak Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G4,S2,,Rare,,Y,P,https://guides.nynhp.org/long-beaked-beak-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143935/Rhynchospora_scirpoides/
Rhynchospora torreyana,https://guides.nynhp.org/status/2.150334/,Torrey's Beak Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G4,SX,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150334/Rhynchospora_torreyana/
Riparia riparia,https://guides.nynhp.org/status/2.101769/,Bank Swallow,Aves (Birds),Passeriformes (Perching Birds),Hirundinidae,G5,S5B,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101769/Riparia_riparia/
Rissa tridactyla,https://guides.nynhp.org/status/2.104258/,Black-legged Kittiwake,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Laridae (Terns, Gulls and Relatives)",G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104258/Rissa_tridactyla/
Roncus lubricus,https://guides.nynhp.org/status/2.973005/,,Arachnida (Arachnids),Pseudoscorpiones,Neobisiidae,GNR,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.973005/Roncus_lubricus/
Rorippa aquatica,https://guides.nynhp.org/status/2.150383/,Lake Water Cress,Dicotyledoneae (Dicots),Capparales,Brassicaceae (Mustard Family),G4?,S2,,Threatened,,Y,P,https://guides.nynhp.org/lake-cress/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150383/Rorippa_aquatica/
Rosa acicularis ssp. sayi,https://guides.nynhp.org/status/2.156883/,Prickly Rose,Dicotyledoneae (Dicots),Rosales,Rosaceae (Rose Family),G5T5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156883/Rosa_acicularis_ssp_sayi/
Rotala ramosior,https://guides.nynhp.org/status/2.147762/,Toothcup,Dicotyledoneae (Dicots),Myrtales,Lythraceae (Loosestrife Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/tooth-cup/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147762/Rotala_ramosior/
Rubus chamaemorus,https://guides.nynhp.org/status/2.144577/,Cloudberry,Dicotyledoneae (Dicots),Rosales,Rosaceae (Rose Family),G5,SX,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144577/Rubus_chamaemorus/
Rubus cuneifolius,https://guides.nynhp.org/status/2.146446/,Sand Blackberry,Dicotyledoneae (Dicots),Rosales,Rosaceae (Rose Family),G5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146446/Rubus_cuneifolius/
Rubus pascuus,https://guides.nynhp.org/status/2.143562/,Chesapeake Blackberry,Dicotyledoneae (Dicots),Rosales,Rosaceae (Rose Family),G2G4,S1,,,,W,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143562/Rubus_pascuus/
Rumex fueginus,https://guides.nynhp.org/status/2.157528/,American Golden Dock,Dicotyledoneae (Dicots),Polygonales,Polygonaceae (Buckwheat Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/golden-dock/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157528/Rumex_fueginus/
Rumex hastatulus,https://guides.nynhp.org/status/2.139424/,Heart Sorrel,Dicotyledoneae (Dicots),Polygonales,Polygonaceae (Buckwheat Family),G5,SH,,Endangered,,Y,P,https://guides.nynhp.org/heart-sorrel/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139424/Rumex_hastatulus/
Rumex pallidus,https://guides.nynhp.org/status/2.145631/,White Dock,Dicotyledoneae (Dicots),Polygonales,Polygonaceae (Buckwheat Family),G4,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.145631/Rumex_pallidus/
Rumex persicarioides,https://guides.nynhp.org/status/2.144421/,Coastal Dock,Dicotyledoneae (Dicots),Polygonales,Polygonaceae (Buckwheat Family),G4G5,SH,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144421/Rumex_persicarioides/
Rynchops niger,https://guides.nynhp.org/status/2.105078/,Black Skimmer,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Laridae (Terns, Gulls and Relatives)",G5,S2,,Special Concern,Yes (high priority),Y,A,https://guides.nynhp.org/black-skimmer/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105078/Rynchops_niger/
Sabatia angularis,https://guides.nynhp.org/status/2.155994/,Rose Pink,Dicotyledoneae (Dicots),Gentianales,Gentianaceae (Gentian Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/rose-pink/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155994/Sabatia_angularis/
Sabatia campanulata,https://guides.nynhp.org/status/2.152525/,Slender Marsh Pink,Dicotyledoneae (Dicots),Gentianales,Gentianaceae (Gentian Family),G4,S1,,Endangered,,Y,P,https://guides.nynhp.org/slender-marsh-pink/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152525/Sabatia_campanulata/
Sabatia dodecandra var. dodecandra,https://guides.nynhp.org/status/2.143494/,Large Marsh Pink,Dicotyledoneae (Dicots),Gentianales,Gentianaceae (Gentian Family),G5?T4T5,SX,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143494/Sabatia_dodecandra_var_dodecandra/
Sabatia stellaris,https://guides.nynhp.org/status/2.144099/,Sea Pink,Dicotyledoneae (Dicots),Gentianales,Gentianaceae (Gentian Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/sea-pink/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144099/Sabatia_stellaris/
Sachalinobia rugipennis,https://guides.nynhp.org/status/2.743136/,Rough-winged Long-horned Beetle,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Cerambycidae (Longhorn Beetles),G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.743136/Sachalinobia_rugipennis/
Sagina decumbens ssp. decumbens,https://guides.nynhp.org/status/2.159908/,Trailing Pearlwort,Dicotyledoneae (Dicots),Caryophyllales,Caryophyllaceae (Pink Family),G5T5,S1S3,,Endangered,,Y,P,https://guides.nynhp.org/trailing-pearlwort/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159908/Sagina_decumbens_ssp_decumbens/
Sagittaria engelmanniana,https://guides.nynhp.org/status/2.145956/,Engelmann's Arrowhead,Monocotyledoneae (Monocots),Alismatales,Alismataceae (Water-Plantain Family),G4,S3,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.145956/Sagittaria_engelmanniana/
Sagittaria filiformis,https://guides.nynhp.org/status/2.136885/,Narrow-leaved Arrowhead,Monocotyledoneae (Monocots),Alismatales,Alismataceae (Water-Plantain Family),G4,SX,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136885/Sagittaria_filiformis/
Sagittaria spongiosa,https://guides.nynhp.org/status/2.1325184/,Spongy-leaved Arrowhead,Monocotyledoneae (Monocots),Alismatales,Alismataceae (Water-Plantain Family),GNR,S2,,Threatened,,Y,P,https://guides.nynhp.org/spongy-arrowhead/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1325184/Sagittaria_spongiosa/
Sagittaria subulata,https://guides.nynhp.org/status/2.133037/,Awl-leaved Arrowhead,Monocotyledoneae (Monocots),Alismatales,Alismataceae (Water-Plantain Family),G4,S3,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133037/Sagittaria_subulata/
Sagittaria teres,https://guides.nynhp.org/status/2.149826/,Quill-leaved Arrowhead,Monocotyledoneae (Monocots),Alismatales,Alismataceae (Water-Plantain Family),G3,S1,,Endangered,,Y,P,https://guides.nynhp.org/quill-leaf-arrowhead/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.149826/Sagittaria_teres/
Sagittunio nasutus,https://guides.nynhp.org/status/2.117973/,Eastern Pondmussel,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G3,S2,,,Yes,Y,A,https://guides.nynhp.org/eastern-pondmussel/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117973/Sagittunio_nasutus/
Sagittunio subrostratus,https://guides.nynhp.org/status/2.110816/,Pondmussel,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110816/Sagittunio_subrostratus/
Salicornia bigelovii,https://guides.nynhp.org/status/2.159390/,Bigelow's Glasswort,Dicotyledoneae (Dicots),Caryophyllales,Amaranthaceae (Amaranth Family),G5,S2S3,,Threatened,,Y,P,https://guides.nynhp.org/dwarf-glasswort/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159390/Salicornia_bigelovii/
Salix cordata,https://guides.nynhp.org/status/2.150241/,Sand Dune Willow,Dicotyledoneae (Dicots),Salicales,Salicaceae (Willow Family),G4,S2,,Threatened,,Y,P,https://guides.nynhp.org/sand-dune-willow/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150241/Salix_cordata/
Salix herbacea,https://guides.nynhp.org/status/2.140634/,Snowbed Willow,Dicotyledoneae (Dicots),Salicales,Salicaceae (Willow Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/dwarf-willow/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140634/Salix_herbacea/
Salix uva-ursi,https://guides.nynhp.org/status/2.133838/,Bearberry Willow,Dicotyledoneae (Dicots),Salicales,Salicaceae (Willow Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/bearberry-willow/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133838/Salix_uva_ursi/
Salmo salar,https://guides.nynhp.org/status/2.104403/,Atlantic Salmon,Actinopterygii (Ray-finned Fishes),Salmoniformes (Salmon and Trout),Salmonidae (Salmon and Trouts),G5,S3,,Game with open season,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104403/Salmo_salar/
Salmo trutta,https://guides.nynhp.org/status/2.103603/,Brown Trout,Actinopterygii (Ray-finned Fishes),Salmoniformes (Salmon and Trout),Salmonidae (Salmon and Trouts),G5,SNA,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103603/Salmo_trutta/
Salvelinus fontinalis,https://guides.nynhp.org/status/2.103972/,Brook Trout,Actinopterygii (Ray-finned Fishes),Salmoniformes (Salmon and Trout),Salmonidae (Salmon and Trouts),G5,S5,,Game with open season,Yes,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103972/Salvelinus_fontinalis/
Salvelinus namaycush,https://guides.nynhp.org/status/2.103158/,Lake Trout,Actinopterygii (Ray-finned Fishes),Salmoniformes (Salmon and Trout),Salmonidae (Salmon and Trouts),G5,S5,,Game with open season,Yes,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103158/Salvelinus_namaycush/
Salvia lyrata,https://guides.nynhp.org/status/2.149008/,Lyre-leaved Sage,Dicotyledoneae (Dicots),Lamiales,Lamiaceae (Mint Family),G5,SH,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.149008/Salvia_lyrata/
Sander canadensis,https://guides.nynhp.org/status/2.102010/,Sauger,Actinopterygii (Ray-finned Fishes),Perciformes (Perch-like Fishes),Percidae (perches and darters),G5,S1,,Special Concern,Yes (high priority),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102010/Sander_canadensis/
Sander vitreus,https://guides.nynhp.org/status/2.101703/,Walleye,Actinopterygii (Ray-finned Fishes),Perciformes (Perch-like Fishes),Percidae (perches and darters),G5,SNR,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101703/Sander_vitreus/
Sanicula canadensis var. grandis,https://guides.nynhp.org/status/2.161606/,Big-fruited Canada Sanicle,Dicotyledoneae (Dicots),Apiales,Apiaceae (Carrot Family),G5T3T5,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161606/Sanicula_canadensis_var_grandis/
Sarmenthypnum sarmentosum,https://guides.nynhp.org/status/2.126840/,Spoon moss,Bryopsida,Hypnales,Calliergonaceae,G5,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126840/Sarmenthypnum_sarmentosum/
Satyrium acadica,https://guides.nynhp.org/status/2.118540/,Acadian Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118540/Satyrium_acadica/
Satyrium calanus,https://guides.nynhp.org/status/2.109128/,Banded Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109128/Satyrium_calanus/
Satyrium caryaevorus,https://guides.nynhp.org/status/2.107976/,Hickory Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G4,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107976/Satyrium_caryaevorus/
Satyrium edwardsii,https://guides.nynhp.org/status/2.111085/,Edwards' Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G4,S3S4,,,,Y,A,https://guides.nynhp.org/edwards-hairstreak/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111085/Satyrium_edwardsii/
Satyrium favonius,https://guides.nynhp.org/status/2.108469/,Oak Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,S2S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108469/Satyrium_favonius/
Satyrium favonius ontario,https://guides.nynhp.org/status/2.115135/,Northern Oak Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5T4,S2S4,,,Yes (high priority),Y,A,https://guides.nynhp.org/northern-oak-hairstreak/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115135/Satyrium_favonius_ontario/
Satyrium liparops,https://guides.nynhp.org/status/2.115678/,Striped Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115678/Satyrium_liparops/
Satyrium liparops strigosum,https://guides.nynhp.org/status/2.120837/,Striped Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5T5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120837/Satyrium_liparops_strigosum/
Satyrium titus,https://guides.nynhp.org/status/2.112082/,Coral Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112082/Satyrium_titus/
Saxifraga aizoides,https://guides.nynhp.org/status/2.140209/,Yellow Mountain Saxifrage,Dicotyledoneae (Dicots),Rosales,Saxifragaceae (Saxifrage Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/yellow-mountain-saxifrage/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140209/Saxifraga_aizoides/
Saxifraga oppositifolia ssp. oppositifolia,https://guides.nynhp.org/status/2.136339/,Purple Mountain Saxifrage,Dicotyledoneae (Dicots),Rosales,Saxifragaceae (Saxifrage Family),G5T5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136339/Saxifraga_oppositifolia_ssp_oppositifolia/
Saxifraga paniculata ssp. paniculata,https://guides.nynhp.org/status/2.1011164/,White Mountain Saxifrage,Dicotyledoneae (Dicots),Rosales,Saxifragaceae (Saxifrage Family),G5TNR,S1,,Endangered,,Y,P,https://guides.nynhp.org/white-mountain-saxifrage/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1011164/Saxifraga_paniculata_ssp_paniculata/
Sayornis phoebe,https://guides.nynhp.org/status/2.102820/,Eastern Phoebe,Aves (Birds),Passeriformes (Perching Birds),Tyrannidae,G5,S5B,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102820/Sayornis_phoebe/
Sayornis saya,https://guides.nynhp.org/status/2.100085/,Say's Phoebe,Aves (Birds),Passeriformes (Perching Birds),Tyrannidae,G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100085/Sayornis_saya/
Scalopus aquaticus,https://guides.nynhp.org/status/2.106146/,Eastern Mole,Mammalia (Mammals),"Eulipotyphla (Shrews, Moles and allies)",Talpidae,G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106146/Scalopus_aquaticus/
Scaphiopus holbrookii,https://guides.nynhp.org/status/2.100521/,Eastern Spadefoot,Amphibia (Amphibians),Anura (Frogs and Toads),Scaphiopodidae (North American Spadefoots),G5,S2S3,,Special Concern,Yes,Y,A,https://guides.nynhp.org/eastern-spadefoot/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100521/Scaphiopus_holbrookii/
Scardinius erythrophthalmus,https://guides.nynhp.org/status/2.100278/,Rudd,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100278/Scardinius_erythrophthalmus/
Sceloporus undulatus,https://guides.nynhp.org/status/2.893135/,Fence Lizard,Reptilia (Reptiles),"Squamata (Lizards, Snakes and Amphisbaenians)",Phrynosomatidae (Spiny Lizards),G5,S1,,Threatened,Yes,Y,A,https://guides.nynhp.org/fence-lizard/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.893135/Sceloporus_undulatus/
Scheuchzeria palustris,https://guides.nynhp.org/status/2.157508/,Pod Grass,Monocotyledoneae (Monocots),Najadales,Scheuchzeriaceae (scheuchzeria family),G5,S3,,Rare,,P,P,https://guides.nynhp.org/pod-grass/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157508/Scheuchzeria_palustris/
Schinia arcigera,https://guides.nynhp.org/status/2.839754/,Arcigera Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S4S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.839754/Schinia_arcigera/
Schinia florida,https://guides.nynhp.org/status/2.116495/,Evening Primrose Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S4S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116495/Schinia_florida/
Schinia gracilenta,https://guides.nynhp.org/status/2.1192572/,Slender Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G4G5,SU,,,Yes (potential),,A,https://guides.nynhp.org/slender-flower-moth/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1192572/Schinia_gracilenta/
Schinia lynx,https://guides.nynhp.org/status/2.116816/,Lynx Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116816/Schinia_lynx/
Schinia nubila,https://guides.nynhp.org/status/2.839784/,Camphorweed Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.839784/Schinia_nubila/
Schinia nundina,https://guides.nynhp.org/status/2.118816/,Goldenrod Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S3?,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118816/Schinia_nundina/
Schinia obscurata,https://guides.nynhp.org/status/2.839792/,Erigeron Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G4,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.839792/Schinia_obscurata/
Schinia rivulosa,https://guides.nynhp.org/status/2.112930/,Ragweed Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112930/Schinia_rivulosa/
Schinia saturata,https://guides.nynhp.org/status/2.109001/,Brown Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,SU,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109001/Schinia_saturata/
Schinia septentrionalis,https://guides.nynhp.org/status/2.115727/,Northern Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G3G4,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115727/Schinia_septentrionalis/
Schinia spinosae,https://guides.nynhp.org/status/2.116537/,Spinose Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G4,SU,,,,Y,A,https://guides.nynhp.org/spinose-flower-moth/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116537/Schinia_spinosae/
Schinia thoreaui,https://guides.nynhp.org/status/2.108369/,Thoreau's Flower Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,SU,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108369/Schinia_thoreaui/
